config,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
mlp_only,0.7487479840421016,0.0326886995960905,0.6136026936026935,0.07796124527065387,0.7540617595894239,0.05862519680474495,0.6728973601799244,0.05456865509220985,0.8330837948899811,0.029091747480975292
mlp_ga,0.752652576181988,0.037974120236120665,0.6197231504585723,0.07022916049914467,0.752504219672614,0.05419477203733403,0.6774553564944608,0.052200344089159176,0.8323301360715958,0.04776772776268834
fused,0.7591630591630592,0.046237884690584805,0.6319203078774026,0.0665282452974264,0.7402199964690814,0.05674465090908059,0.6806441935147747,0.05688910564147857,0.8398325495911907,0.04900248992433491
